file,psnr,ssim,lpips,fid
ROIs1970_fall_s1_8_p341.png,23.379088863115605,0.7782731460477917,0.15908628702163696,
ROIs1970_fall_s1_8_p342.png,23.409703835177847,0.7835561018457724,0.14304620027542114,
ROIs1970_fall_s1_8_p343.png,23.32887841115333,0.784728965563067,0.14261944591999054,
ROIs1970_fall_s1_8_p344.png,23.224961098717554,0.7969578416098182,0.14765524864196777,
ROIs1970_fall_s1_8_p345.png,23.302528185754532,0.799257792927288,0.1477867066860199,
ROIs1970_fall_s1_8_p346.png,23.49683367562907,0.7873029022509217,0.15214139223098755,
ROIs1970_fall_s1_8_p349.png,23.860544742566017,0.7786656180221346,0.13988497853279114,
ROIs1970_fall_s1_8_p350.png,23.564629988476774,0.7788214433197163,0.17473316192626953,
ROIs1970_fall_s1_8_p351.png,23.44799844637828,0.7809819430717115,0.15101514756679535,
ROIs1970_fall_s1_8_p352.png,23.68874644382286,0.7845663145811375,0.1366576850414276,
ROIs1970_fall_s1_8_p370.png,23.551928764085076,0.7962173518907093,0.13457095623016357,
ROIs1970_fall_s1_8_p371.png,23.2552504207148,0.803019400739242,0.13994593918323517,
ROIs1970_fall_s1_8_p372.png,23.448941999821052,0.7859120566824956,0.16090869903564453,
ROIs1970_fall_s1_8_p373.png,23.51592101865764,0.7822149254020101,0.15151166915893555,
ROIs1970_fall_s1_8_p374.png,23.450836940594435,0.7949733906265553,0.1506095975637436,
AVERAGE,23.46178618897766,0.7876966129720249,0.148811541001002,61.81862471859454
