file,psnr,ssim,lpips,fid
ROIs1970_fall_s1_8_p341.png,21.660941505643386,0.7021890514572298,0.18151530623435974,
ROIs1970_fall_s1_8_p342.png,21.602422758372274,0.7044684154735192,0.16606292128562927,
ROIs1970_fall_s1_8_p343.png,21.5551920875156,0.7071710282710465,0.1862604320049286,
ROIs1970_fall_s1_8_p344.png,21.47015596163865,0.7231391870474961,0.16851134598255157,
ROIs1970_fall_s1_8_p345.png,21.530531433301302,0.72110843268911,0.19353079795837402,
ROIs1970_fall_s1_8_p346.png,21.675397546527506,0.7044696002276093,0.17761637270450592,
ROIs1970_fall_s1_8_p349.png,22.007432028574474,0.6977744418003325,0.17825303971767426,
ROIs1970_fall_s1_8_p350.png,21.71608459305392,0.6962289175263272,0.19845739006996155,
ROIs1970_fall_s1_8_p351.png,21.64608959342196,0.7009237087194836,0.18678148090839386,
ROIs1970_fall_s1_8_p352.png,21.860689486568404,0.7022165916224954,0.17627230286598206,
ROIs1970_fall_s1_8_p370.png,21.753786252579978,0.7198537405387974,0.15197399258613586,
ROIs1970_fall_s1_8_p371.png,21.540376020706972,0.7315348037518461,0.17476433515548706,
ROIs1970_fall_s1_8_p372.png,21.703217492005695,0.7094153214628434,0.17999860644340515,
ROIs1970_fall_s1_8_p373.png,21.68017212041712,0.7022872310909782,0.16905538737773895,
ROIs1970_fall_s1_8_p374.png,21.619137447791964,0.7127155841953686,0.1796492636203766,
AVERAGE,21.66810842187461,0.7090330703916321,0.17791353166103363,95.50782685242538
