file,psnr,ssim,lpips,fid
ROIs1970_fall_s1_8_p341.png,21.803269096663193,0.6546430062155986,0.20334264636039734,
ROIs1970_fall_s1_8_p342.png,21.824795249082456,0.6621385664886518,0.19078128039836884,
ROIs1970_fall_s1_8_p343.png,21.706327325215547,0.6700760054616369,0.20981541275978088,
ROIs1970_fall_s1_8_p344.png,21.528441328655617,0.6817643990665689,0.20636266469955444,
ROIs1970_fall_s1_8_p345.png,21.65462874039406,0.6843708244755619,0.21556071937084198,
ROIs1970_fall_s1_8_p346.png,21.88431065340822,0.6714190351390813,0.20732218027114868,
ROIs1970_fall_s1_8_p349.png,22.256958588432312,0.6504573066071514,0.22145533561706543,
ROIs1970_fall_s1_8_p350.png,22.001370374768307,0.6587456007367462,0.24351276457309723,
ROIs1970_fall_s1_8_p351.png,21.82115596336795,0.6570607699505486,0.21628496050834656,
ROIs1970_fall_s1_8_p352.png,22.051808491136473,0.6674937210810707,0.1999766230583191,
ROIs1970_fall_s1_8_p370.png,21.818005743719073,0.6782653951686042,0.20159348845481873,
ROIs1970_fall_s1_8_p371.png,21.461919512426924,0.6854712571985241,0.20613226294517517,
ROIs1970_fall_s1_8_p372.png,21.82835949043895,0.6658897686791367,0.22055846452713013,
ROIs1970_fall_s1_8_p373.png,21.865039521606526,0.6578434640676065,0.22299982607364655,
ROIs1970_fall_s1_8_p374.png,21.66140000421131,0.6674607534995616,0.2097381055355072,
AVERAGE,21.811186005568466,0.6675399915890701,0.21169578234354655,88.71023056126924
